N,SCALAR_SEC,NOVEC_SEC,NAIVE_NEON_SEC,BLOCKED_NEON_SEC,NOVEC_SPEEDUP,NAIVE_SPEEDUP,BLOCKED_SPEEDUP,BLOCKED_VS_NOVEC,SCALAR_GFLOPS,NOVEC_GFLOPS,NAIVE_GFLOPS,BLOCKED_GFLOPS,MAXERR,RMSE,CHECKSUM,STATUS
128,0.002414427,0.002414427,0.003424375,0.000974948,1,0.705070852345,2.47646746288,2.47646746288,1.73718401923,1.73718401923,1.22483781712,4.30207970066,0,0,-151.603895571,PASS
256,0.026422032,0.026422032,0.027586823,0.013011563,1,0.957777269242,2.03065780798,2.03065780798,1.26994138831,1.26994138831,1.21632099499,2.57881639585,0,0,109.192763017,PASS
384,0.078676562,0.078676562,0.092263073,0.040187812,1,0.852741616356,1.95772195809,1.95772195809,1.43938938257,1.43938938257,1.22742722866,2.8179242005,0,0,-2.73987652346,PASS
512,0.268470104,0.268470104,0.231652865,0.171037969,1,1.15893280232,1.56965208117,1.56965208117,0.9998709428,0.9998709428,1.1587832337,1.56944950627,0,0,5483.83585414,PASS
640,0.704466458,0.704466458,0.455519427,0.197734271,1,1.54651243447,3.56269277165,3.56269277165,0.744234156284,0.744234156284,1.15096737685,2.65147764901,0,0,-5706.05536605,PASS
768,2.123137187,2.123137187,0.848168854,0.448862916,1,2.50320107487,4.73003474183,4.73003474183,0.426712729421,0.426712729421,1.06814776295,2.01836603494,0,0,-4113.44559714,PASS
896,3.009281978,3.009281978,1.413747135,0.599712864,1,2.12858573043,5.01787131583,5.01787131583,0.478069613455,0.478069613455,1.01761215735,2.39889180033,0,0,1960.97199126,PASS
1024,9.309062965,9.309062965,2.296588905,1.88344177,1,4.05343026117,4.94258071222,4.94258071222,0.230687412479,0.230687412479,0.935075338614,1.14019115547,0,0,-15924.5403035,PASS
