composition_id,S_measured,component_S,modeled_product,interaction_factor,overclaim_vs_product,interpretation
C1,22.1545,S1=14.9469_S2=9.7841,146.24,0.1515,6.6x,never multiply isolated ratios; native measurement
C2,35.8222,S1=14.9469_S2=9.7841_S3=13.2075,1931.49,0.0186,53.9x,deeper fusion raises S but still far below product
